日期,现金,持仓市值,净值,日收益%,累计收益%,持仓数,最大持仓,运行ID
2026-07-24,7995,0,7995,0,0,0,,20260724_233055
2026-07-25,7995,8050,16045,0.69,0.69,1,1700,20260724_233055
